[_w f e m ]_w
[_w a n a ɾ ]_w
[_w p o ɾ t ]_w
[_w k a n t ]_w
[_w p o i ]_w
[_w p ɾ e s ]_w
[_w b i b a ]_w
[_w e n t e ]_w
[_w k a ɾ t ]_w
[_w b e u ]_w
[_w p ɾ e n ]_w
[_w b a ɾ e ]_w
[_w k a ɾ ]_w
[_w e ɾ e m ]_w
[_w t o t a ]_w
[_w m o ɾ t ]_w
[_w w e p s ]_w
[_w b ɾ e u ]_w
[_w e s t e ]_w
[_w ʒ i l ]_w
[_w a s e m ]_w
[_w b e ɾ t ]_w
[_w f e s ]_w
[_w f o ɾ n ]_w
[_w t e u ]_w
[_w k o s ]_w
[_w k ɾ e u ]_w
[_w s o n s ]_w
[_w b o m a ]_w
[_w a b i t ]_w
[_w ʒ o a n ]_w
[_w s a l a ]_w
[_w ɡ i n a ]_w
[_w k e d o ]_w
[_w i o ɾ k ]_w
[_w m a ɾ ɡ ]_w
[_w d i a ]_w
[_w p i s i ]_w
[_w s a ʒ i ]_w
[_w e n ʎ a ]_w
[_w b o l s ]_w
[_w k o tʃ e ]_w
[_w o n e s ]_w
[_w b a ɡ a ]_w
[_w a k i ]_w
[_w r e a l ]_w
[_w a n d i ]_w
[_w d i dz ]_w
[_w r o tʃ ]_w
[_w p l o ɡ ]_w
[_w e n e ɾ ]_w
[_w d e i ʃ ]_w
[_w b o n ]_w
[_w k ɾ i d ]_w
[_w m e s ]_w
[_w o p ɾ a ]_w
[_w s i n k ]_w
[_w d e l s ]_w
[_w t e b a ]_w
[_w d o t o ]_w
[_w k o ɾ t ]_w
[_w m e n t ]_w
[_w m o ɾ a ]_w
[_w k o b ]_w
[_w i n d e ]_w
[_w p e ɾ b ]_w
[_w ʒ a b o ]_w
[_w s i k i ]_w
[_w t a ɲ ]_w
[_w m u j ]_w
[_w b i d ]_w
[_w ɡ ɾ e k ]_w
[_w t a ɾ a ]_w
[_w b o ɾ ]_w
[_w b ɾ e s ]_w
[_w a o ɾ a ]_w
[_w k ɾ i s ]_w
[_w b e ɾ o ]_w
[_w p a u ]_w
[_w l a n t ]_w
[_w m a ɾ s ]_w
[_w s e k ɾ ]_w
[_w d u ɾ ]_w
[_w s a p a ]_w
[_w b u k i ]_w
[_w ʎ a ɾ k ]_w
[_w ʒ i ɾ a ]_w
[_w ɡ o s t ]_w
[_w p ɾ a s ]_w
[_w n e u ]_w
[_w p l o u ]_w
[_w s e ɾ e ]_w
[_w m e n d ]_w
[_w e s t a ]_w
[_w n o d a ]_w
[_w t a ʎ ɔ ]_w
[_w k i n a ]_w
[_w k u ɾ s ]_w
[_w i n u t ]_w
[_w e ɾ ɡ ]_w
[_w b i l a ]_w
[_w ɡ a n t ]_w
[_w f o ɾ s ]_w
[_w d o ɾ n ]_w
[_w d e b a ]_w
[_w k e d a ]_w
[_w s a l ]_w
[_w p a ɡ a ]_w
[_w l e s ]_w
[_w b a b a ]_w
[_w a l ɡ n ]_w
[_w k o ɾ ]_w
[_w i k b ]_w
[_w k o k a ]_w
[_w s e l ]_w
[_w b a n t ]_w
[_w d e ɾ ]_w
[_w m o l t ]_w
[_w m i dʒ a ]_w
[_w n a d a ]_w
[_w a k e ʎ ]_w
[_w d a ɾ a ]_w
[_w m o ɾ ]_w
[_w p a s a ]_w
[_w s a p ]_w
[_w b a s e ]_w
[_w d e r a ]_w
[_w b a ʒ i ]_w
[_w s e n t ]_w
[_w o ɾ a ɾ ]_w
[_w b a ɾ a ]_w
[_w b e ɾ s ]_w
[_w ʒ u l i ]_w
[_w ɡ o d a ]_w
[_w t o ɾ a ]_w
[_w e n k a ]_w
[_w m i l i ]_w
[_w m u n d ]_w
[_w ʎ i t ]_w
[_w a n a d ]_w
[_w k l u b ]_w
[_w p a n t ]_w
[_w p e ɾ n ]_w
[_w k ɾ i t ]_w
[_w n o s ]_w
[_w n e d ]_w
[_w p a t e ]_w
[_w a l d e ]_w
[_w k o r e ]_w
[_w d ɾ e n ]_w
[_w f ɾ e d ]_w
[_w p e p ]_w
[_w f a s e ]_w
[_w ʒ i n a ]_w
[_w o d e l ]_w
[_w ʃ o i a ]_w
[_w k a t a ]_w
[_w t i t ]_w
[_w d i ɾ ]_w
[_w b a d i ]_w
[_w t e r a ]_w
[_w a ɾ t i ]_w
[_w a b ɾ a ]_w
[_w n a u ]_w
[_w p a ɾ d ]_w
[_w b o s a ]_w
[_w a k e s ]_w
[_w p ɾ o s ]_w
[_w m u n t ]_w
