[_w m p ɘ ]_w
[_w s aː u t ]_w
[_w k ʊ r ɪ ]_w
[_w w ɔ w ]_w
[_w k ɔː l ɪ ]_w
[_w ɘ r ɛ k ]_w
[_w k ɘ b ɘ ]_w
[_w ʊ ɲ ɛ n ]_w
[_w f ɔː f ʊ ]_w
[_w ʊ s ɔ f ]_w
[_w k eː l ]_w
[_w k ʊ t ɪ ]_w
[_w d ɘ n ]_w
[_w ɛ r ɛ ɡ ]_w
[_w w ɘ mː ɪ ]_w
[_w ɘ r ɛ ɡ ]_w
[_w ɘ s ɛ n ]_w
[_w m p uː r ]_w
[_w j ɔː k ɛ ]_w
[_w a b u r ]_w
[_w ɪ l ɘ t ]_w
[_w ɘ mː ɪ ]_w
[_w ɛ r ɪ ]_w
[_w l ɘ k ɔ ]_w
[_w f ɘ n ]_w
[_w ɛ c ɪː k ]_w
[_w ɘ r ɔ ŋ ]_w
[_w b ɔː l ɪ ]_w
[_w l ɛ t ]_w
[_w ɪ l ɘː ɲ ]_w
[_w ɛ l ɪ t ]_w
[_w ɟ ɔː t ɛ ]_w
[_w ɘ f ɘ ŋ ]_w
[_w ʊ r ɛː s ]_w
[_w ɡ ɘː k ʊ ]_w
[_w s ɘ mː ɪ ]_w
[_w m ɔː m ]_w
[_w j ɔ b ɘ ]_w
[_w ɛ n ɪː l ]_w
[_w f u s ]_w
[_w ʊ b ɘ ɟ ]_w
[_w k ɘː t ɛ ]_w
[_w ɟ ɪ l ɛː ]_w
[_w ʊ r ɛ k ]_w
[_w f ɛ ɪ ]_w
[_w ɘ l ɘ w ]_w
[_w b ɘ n ]_w
[_w b ʊ k ɔː ]_w
[_w e j e m ]_w
[_w m ɘ nː ɘ ]_w
[_w b ɛː t ]_w
[_w ʊ ŋ ɔː l ]_w
[_w j ɔː l ɪ ]_w
[_w ɘ s ɔ n ]_w
[_w ɘ l ɪ f ]_w
[_w ɛ w ɘ ɲ ]_w
[_w k ʊ l ɘ ]_w
[_w ʊ ɟ ɘ m ]_w
[_w ɔː t ʊ t ]_w
[_w ɛ s ɔ f ]_w
[_w ɛ w ɘ w ]_w
[_w ɟ ɪ l ɘ ]_w
[_w ɪ b ɘ c ]_w
[_w b ɘː k ]_w
[_w b ɪ b ɪ ]_w
[_w ʊ m ɘ ŋ ]_w
[_w k ʊ b ɘ ]_w
[_w k ɘ m ɘ ]_w
[_w i b u r ]_w
[_w r ɛ m ɔ ]_w
[_w m b ɘː ]_w
[_w f ʊ r ɪ ]_w
[_w ɘ b ɘː l ]_w
[_w ʊ ɟ ɪ n ]_w
[_w b ɔː m ]_w
[_w u p u r ]_w
[_w ɛ b ʊ ɟ ]_w
[_w ʊ k ɘː n ]_w
[_w ɘ m p ɘ ]_w
[_w f ɔː l ɘ ]_w
[_w ɛ ɲ ɛ s ]_w
[_w ɘ ɟ ɘ k ]_w
[_w ɛ r ɘː n ]_w
[_w ɛ l ʊː p ]_w
[_w ɛ ɟ ʊ k ]_w
