[_w m i s ]_w
[_w n i u ]_w
[_w s u n a ]_w
[_w m i n i ]_w
[_w i n u i ]_w
[_w i l l u ]_w
[_w u n n u ]_w
[_w s i l a ]_w
[_w m a l i ]_w
[_w l u i ]_w
[_w ɣ aː s i ]_w
[_w n u t aː ]_w
[_w i ɣ l u ]_w
[_w n a l i ]_w
[_w i m m a ]_w
[_w n i k ]_w
[_w iː t u a ]_w
[_w u l l u ]_w
[_w a t iː ]_w
[_w i m aː ]_w
[_w n u n a ]_w
[_w j i m i ]_w
[_w n a l u ]_w
[_w t aː l a ]_w
[_w a s i a ]_w
[_w i l i k ]_w
[_w s i u l ]_w
[_w t aː n ]_w
[_w m aː t a ]_w
[_w m i l i ]_w
[_w i n uː p ]_w
[_w n u t ]_w
[_w aː n i ]_w
[_w u n i k ]_w
[_w m aː k ]_w
[_w i v v i ]_w
[_w q a ŋ a ]_w
[_w uː m a ]_w
[_w j uː n ]_w
[_w m aː n i ]_w
[_w i n n a ]_w
[_w t aː n a ]_w
[_w j uː n a ]_w
[_w i m aː k ]_w
[_w n a n i ]_w
[_w m a i ]_w
[_w aː k k a ]_w
[_w t u t uː ]_w
[_w p aː t ]_w
[_w l uː s i ]_w
[_w i n u k ]_w
[_w k i s u ]_w
[_w s a n i ]_w
[_w a ŋ u t ]_w
[_w k p m ɣ ]_w
[_w i u ʁ i ]_w
[_w ŋ i t ]_w
[_w j uː s i ]_w
[_w i l i n ]_w
[_w ʁ uː s ]_w
[_w ʁ u i ]_w
[_w s aː n ]_w
[_w j uː n i ]_w
[_w j uː p i ]_w
[_w m i s i ]_w
[_w v u a t ]_w
[_w u i ŋ a ]_w
[_w q a n u ]_w
[_w i m a k ]_w
[_w p iː k u ]_w
[_w s uː q ]_w
[_w k i n a ]_w
[_w n u a ]_w
[_w k aː t i ]_w
[_w t u n i ]_w
[_w j u a j ]_w
[_w n i t ]_w
[_w a v a ]_w
[_w j aː n ]_w
[_w i n u t ]_w
[_w a u j a ]_w
[_w m a k u ]_w
[_w s aː m ]_w
[_w t uː t u ]_w
[_w t aː m ]_w
[_w aː l a n ]_w
[_w m i t ]_w
[_w iː p ʁ u ]_w
[_w i l aː k ]_w
[_w j uː m i ]_w
[_w iː l aː k ]_w
[_w s a m i ]_w
[_w n a m i ]_w
[_w a t iː t ]_w
[_w m u t ]_w
[_w k uː k ]_w
[_w j i m ]_w
[_w a m m a ]_w
[_w p i u l ]_w
[_w t u ŋ a ]_w
[_w i l a k ]_w
[_w m a n a ]_w
[_w iː v a ]_w
[_w a t a u ]_w
[_w i m a n ]_w
[_w n u a t ]_w
[_w p iː t a ]_w
[_w s iː l a ]_w
[_w s aː l i ]_w
[_w m a m i ]_w
[_w u k u a ]_w
[_w m a i k ]_w
[_w s u l i ]_w
[_w aː s i t ]_w
[_w j aː k ]_w
[_w t uː t uː ]_w
[_w ʁ i t s ]_w
[_w m i k ]_w
[_w k iː t ]_w
[_w u v v a ]_w
[_w p aː l ]_w
[_w j aː n i ]_w
[_w p a t ]_w
[_w v aː t i ]_w
[_w a k i t ]_w
[_w m i l u ]_w
[_w aː ɣ ɣ a ]_w
[_w a v v a ]_w
[_w k uː l i ]_w
[_w i l aː ]_w
[_w i v i t ]_w
[_w l iː n a ]_w
[_w u n a ]_w
[_w ʁ aː s ]_w
[_w t u t u ]_w
[_w k u i n ]_w
[_w p i k u ]_w
[_w i ŋ n a ]_w
[_w a k iː t ]_w
[_w n i u s ]_w
[_w t uː n i ]_w
[_w i a t ]_w
[_w k uː p a ]_w
[_w uː k iː ]_w
[_w i n u ]_w
[_w p iː k uː ]_w
[_w ŋ a n i ]_w
[_w k u a k ]_w
