[_w z e k ]_w
[_w r a e ]_w
[_w t i u ]_w
[_w a r i ɣ ]_w
[_w t e i m ]_w
[_w u r a ɣ ]_w
[_w o k o p ]_w
[_w o l i β ]_w
[_w p o t u ]_w
[_w t e r i ]_w
[_w k o d i ]_w
[_w e p o β ]_w
[_w ɣ a o ɣ ]_w
[_w ɣ e r i ]_w
[_w a k a p ]_w
[_w p o r i ]_w
[_w l a m ]_w
[_w m a r i ]_w
[_w o ɡ e ɡ ]_w
[_w m e n a ]_w
[_w m e t e ]_w
[_w e l a ɣ ]_w
[_w n a r i ]_w
[_w ɣ o m e ]_w
[_w r a ɡ ]_w
[_w e r o t ]_w
[_w i ŋ i r ]_w
[_w b i i n ]_w
[_w e m o ɣ ]_w
[_w m e e ɣ ]_w
[_w p o r e ]_w
[_w p o o ɣ ]_w
[_w m e m e ]_w
[_w t a e ]_w
[_w e p a r ]_w
[_w r i r i ]_w
[_w n a i ]_w
[_w p a p ]_w
[_w s u t a ]_w
[_w a p a t ]_w
[_w b a t ]_w
[_w t e k e ]_w
[_w n a r e ]_w
[_w s o p a ]_w
[_w ɡ o e ŋ ]_w
[_w ɡ i l ]_w
[_w z o o ɣ ]_w
[_w b a ɣ ]_w
[_w n e m ]_w
[_w a r i m ]_w
[_w e t e p ]_w
[_w e m a m ]_w
[_w ɡ a r o ]_w
[_w s a u p ]_w
[_w n a n e ]_w
[_w a β a s ]_w
[_w a ɣ o r ]_w
[_w b o i ]_w
[_w e t e m ]_w
[_w t o o ɣ ]_w
[_w b e r e ]_w
[_w a z i t ]_w
[_w a ŋ o ɣ ]_w
[_w l u l ]_w
[_w k o t i ]_w
[_w b u l ]_w
[_w e ŋ i z ]_w
[_w b e k ]_w
[_w d a t ]_w
[_w s o o ɣ ]_w
[_w u r u β ]_w
[_w a r a β ]_w
[_w e m a ɣ ]_w
[_w s e i r ]_w
[_w b o t u ]_w
[_w d o o ɣ ]_w
[_w z a i d ]_w
[_w ɣ a ɣ o ]_w
[_w e t e ɣ ]_w
[_w e p o p ]_w
[_w e p e z ]_w
[_w s u a ŋ ]_w
[_w ɣ e z a ]_w
[_w t o t u ]_w
[_w n a i n ]_w
[_w a s o s ]_w
[_w ɡ a e β ]_w
[_w b o r i ]_w
[_w e d e t ]_w
[_w b a i n ]_w
[_w ɡ i n a ]_w
[_w a β a t ]_w
[_w t a p u ]_w
[_w s o t u ]_w
[_w k o e ŋ ]_w
[_w t o ɣ o ]_w
[_w a l i z ]_w
[_w b u n ]_w
[_w m e ŋ i ]_w
[_w e m o m ]_w
[_w a r i p ]_w
[_w r a β a ]_w
[_w i z o ]_w
[_w s o β a ]_w
[_w a i z a ]_w
[_w i r i ɣ ]_w
[_w ɣ e p ]_w
[_w b a r u ]_w
[_w t e p i ]_w
[_w k o t ]_w
[_w ɡ i n ]_w
[_w a r a t ]_w
[_w a p u ɣ ]_w
[_w e r a p ]_w
[_w b e i ]_w
[_w m a t a ]_w
[_w e m e k ]_w
[_w b i s ]_w
[_w b o e k ]_w
[_w a r a d ]_w
[_w b o u t ]_w
[_w n a e t ]_w
[_w u β e ]_w
[_w s e ɡ e ]_w
[_w s a ŋ ]_w
[_w ɣ o r i ]_w
[_w ŋ e t i ]_w
[_w m a u r ]_w
[_w e r o ɣ ]_w
