[_w m iː n ]_w
[_w ʔ a l b ]_w
[_w ɡ u lː ]_w
[_w k iː v ]_w
[_w t̪ a n t̪ ]_w
[_w t̪ a n ]_w
[_w dʒ o p ]_w
[_w e r b a ]_w
[_w j i dʒ i ]_w
[_w l b ɪː b ]_w
[_w l a r t̪ ]_w
[_w zː o mː ]_w
[_w ɡ e lː aː ]_w
[_w f o n d̪ ]_w
[_w i s t̪ a ]_w
[_w aː l a ʔ ]_w
[_w k o n t̪ ]_w
[_w d̪ i z d̪ ]_w
[_w s a n ]_w
[_w ħ b ɪː b ]_w
[_w f a d̪ a ]_w
[_w b d̪ a n ]_w
[_w p ħ a l ]_w
[_w ʔ a lː i ]_w
[_w ɡ l a pː ]_w
[_w f o s t̪ ]_w
[_w ħ a bː a ]_w
[_w u m a n ]_w
[_w f a d̪ i ]_w
[_w l oː b a ]_w
[_w m a lː i ]_w
[_w b ʃ i ]_w
[_w f t̪ a n ]_w
[_w aː z l u ]_w
[_w s aː a ]_w
[_w tʃ i m aː ]_w
[_w l aː n ]_w
[_w t̪ a l b ]_w
[_w eː mː eː kː ]_w
[_w oː l j a ]_w
[_w d̪ː a tsː a ]_w
[_w j p ɡ ]_w
[_w p e j n ]_w
[_w i v a ]_w
[_w n a ħ a ]_w
[_w e lː iː z ]_w
[_w j uː m ]_w
[_w i n iː ]_w
[_w s i b t̪ ]_w
[_w m a rː u ]_w
[_w t̪ iː m ]_w
[_w o ħ r a ]_w
[_w a t̪ː a r ]_w
[_w s a mː ]_w
[_w i k l a ]_w
[_w s e t̪ e ]_w
[_w s ɪː a ]_w
[_w t̪ i f i ]_w
[_w d̪ aː o m ]_w
[_w m e l a ]_w
[_w i nː ɪː s ]_w
[_w o dʒː e d̪ː ]_w
[_w b a s i ]_w
[_w b eː kː ]_w
[_w e l e t̪ː ]_w
[_w a bː uː z ]_w
[_w s t̪ r u ]_w
[_w l f a m ]_w
[_w b i lː i ]_w
[_w k a s i ]_w
[_w b ħ a l ]_w
[_w dʒ ɪː l i ]_w
[_w a t̪ː iː f ]_w
[_w j aː d̪ː i ]_w
[_w f e r ħ ]_w
[_w t̪ i dʒ i ]_w
[_w s iː ħ ]_w
[_w f e lː a ]_w
[_w t̪ e o ]_w
[_w d̪ a l p ]_w
[_w a ħ n a ]_w
[_w ɡ e l b ]_w
[_w i sː iː r ]_w
[_w l i l u ]_w
[_w b iː a ]_w
[_w f eː kː ]_w
[_w w z a d̪ ]_w
[_w aː t̪ n a ]_w
[_w aː d̪ː a ]_w
[_w rː ɪː d̪ a ]_w
[_w l e j ħ ]_w
[_w n s o mː ]_w
[_w aː l iː a ]_w
[_w i l f u ]_w
[_w dʒ u s t̪ ]_w
[_w t̪ a lː a ]_w
[_w t̪ ɪː k uː ]_w
[_w m o t̪ i ]_w
[_w i sː a ]_w
[_w k o d̪ː a ]_w
[_w t̪ e mː ]_w
[_w j ɪː n a ]_w
[_w r a t̪ː ]_w
[_w t̪ a ħ t̪ ]_w
[_w t̪ m ɪː m ]_w
[_w v a lː a ]_w
[_w aː n d̪ u ]_w
[_w ʔ aw w a ]_w
[_w t̪ a r a ]_w
[_w d̪ː e mː ]_w
[_w ɡ d̪ iː d̪ ]_w
[_w e l f ]_w
[_w t̪ a sː ew ]_w
[_w a r t̪ ]_w
[_w i sː ew dʒ ]_w
[_w s iː a t̪ ]_w
[_w a r m a ]_w
[_w m a r t̪ ]_w
[_w t̪ a l p ]_w
[_w t̪ aː d̪ ]_w
[_w a n k e ]_w
[_w p t̪ a k ]_w
[_w t̪ a l i ]_w
[_w zː e m a ]_w
[_w dʒ i m aː ]_w
[_w ʔ a t̪ː ]_w
[_w l e s t̪ ]_w
[_w mː uː r ]_w
[_w t̪ w a r ]_w
[_w l i dʒ i ]_w
[_w k e j ]_w
[_w dʒ e r t̪ ]_w
[_w aː d̪ n i ]_w
[_w s e n a ]_w
[_w k b iː r ]_w
[_w i l i ]_w
[_w k a r a ]_w
[_w p o r t̪ ]_w
[_w l oː l a ]_w
[_w p a ʃː a ]_w
[_w j m i sː ]_w
[_w k a s ]_w
[_w u m l i ]_w
[_w d̪ː ħ uː l ]_w
[_w i m uː d̪ ]_w
[_w m ɪː ej ]_w
[_w k o n d̪ ]_w
[_w aː d̪ː ɪː d̪ ]_w
[_w i t̪ː r i ]_w
[_w t̪ e l a ]_w
[_w f l o ɡ ]_w
[_w aː n t̪ u ]_w
[_w e lː iː s ]_w
[_w n ɪː t̪ u ]_w
[_w b a ʔ a ]_w
[_w r u ħ aː ]_w
[_w f j a ɡː ]_w
[_w ʃ e m ʃ ]_w
[_w d̪ i b i ]_w
[_w a ʔ r a ]_w
[_w l e j l ]_w
[_w s m ɪː n ]_w
[_w t̪ i b i ]_w
[_w w ɪː e d̪ ]_w
[_w a n d̪ u ]_w
[_w i sː iː b ]_w
[_w l aː b ]_w
[_w t̪ eː r ]_w
[_w uː z a ]_w
[_w b a rː a ]_w
[_w ħ uː t̪ i ]_w
[_w i m uː r ]_w
[_w l e j n ]_w
[_w s e ħː ]_w
[_w k a r m ]_w
[_w l u e ]_w
[_w u l ɪː t̪ ]_w
[_w a ħ d̪ a ]_w
[_w f iː ħ ]_w
[_w i rː iː d̪ ]_w
