[_w p a s ]_w
[_w k a r a ]_w
[_w r uː p a ]_w
[_w s eː t̪ a ]_w
[_w dʒ iː n a ]_w
[_w ɡ æ l æː ]_w
[_w l a m a ]_w
[_w s i d̪ u ]_w
[_w h i m i ]_w
[_w k o s ]_w
[_w ʋ a ʈ a ]_w
[_w d̪ e l ]_w
[_w tʃ aː l a ]_w
[_w h a t̪ aː ]_w
[_w ʋ a j a ]_w
[_w k i j aː ]_w
[_w j u t̪ a ]_w
[_w p o l ]_w
[_w h a r a ]_w
[_w p a ʋ aː ]_w
[_w p u d̪ ]_w
[_w æ t̪ u l ]_w
[_w m aː ʋ a ]_w
[_w t̪ e ʋ i ]_w
[_w b aː l a ]_w
[_w j a ʋ a ]_w
[_w m a n aː ]_w
[_w b u d̪ː i ]_w
[_w ʋ a s a ]_w
[_w t̪ i b iː ]_w
[_w s a ⁿd̪ a ]_w
[_w ʋ i ʈ a ]_w
[_w l æ p uː ]_w
[_w k oː l a ]_w
[_w n a d̪ a ]_w
[_w a n t̪ a ]_w
[_w p i r i ]_w
[_w k a p u ]_w
[_w t̪ u m aː ]_w
[_w m eː t̪ a ]_w
[_w t̪ i ɡ a ]_w
[_w d̪ a l a ]_w
[_w t̪ iː m a ]_w
[_w aː k a m ]_w
[_w h æ ʈ a ]_w
[_w s a m a ]_w
[_w a n u ]_w
[_w k æ n a ]_w
[_w r a l u ]_w
[_w u b a ]_w
[_w t̪ a ʋ a ]_w
[_w e k ʋ a ]_w
[_w k a ʋ a ]_w
[_w n a l a ]_w
[_w ʋ i s i ]_w
[_w ʋ aː h a ]_w
[_w ʋ iː m a ]_w
[_w ʋ e n i ]_w
[_w u t̪ a m ]_w
[_w o ʋ u n ]_w
[_w s k o ɖ ]_w
[_w s a ʈ a ]_w
[_w i t̪ aː ]_w
[_w dʒ a l a ]_w
[_w k a r u ]_w
[_w m a t̪ a ]_w
[_w ʋ æ ʈ a ]_w
[_w ʋ uː ʋ aː ]_w
[_w k a l a ]_w
[_w i lː u m ]_w
[_w b i l i ]_w
[_w b aː r a ]_w
[_w d̪ æ b uː ]_w
[_w j a m a ]_w
[_w d̪ a r a ]_w
[_w p a ʈ a ]_w
[_w s a t̪ u ]_w
[_w d̪ a m aː ]_w
[_w o ʋ h u ]_w
[_w ɡ i j a ]_w
[_w ʋ a nː aː ]_w
[_w ʋ eː d̪ a ]_w
[_w p i t̪ː i ]_w
[_w æ ʈ a ]_w
[_w p æ ⁿd̪ a ]_w
[_w h eː d̪ u ]_w
[_w d̪ æ n a ]_w
[_w ʃ r iː ]_w
[_w d̪ e ʋ i ]_w
