[_w k o z ]_w
[_w u l a ɾ ]_w
[_w ɔ l i b ]_w
[_w ɔ d a m ]_w
[_w q o l ]_w
[_w ʃ a ɾ d ]_w
[_w f i k ɾ ]_w
[_w ɔ lː ɔ h ]_w
[_w ɔ t a d ]_w
[_w a lː ɔ h ]_w
[_w b i ɾ i ]_w
[_w t ɔ n a ]_w
[_w o t i ʃ ]_w
[_w a s ɔ b ]_w
[_w ɔ q i b ]_w
[_w i l ɔ n ]_w
[_w o l d i ]_w
[_w χ a l q ]_w
[_w u z u l ]_w
[_w ɔ m ɔ n ]_w
[_w m u l ɡ ]_w
[_w ɔ l i m ]_w
[_w t o j ]_w
[_w o z ɡ a ]_w
[_w m a j ]_w
[_w ɔ p ɔ d ]_w
[_w a h l i ]_w
[_w o q i ʃ ]_w
[_w b i ɾ ]_w
[_w q a s ɔ ]_w
[_w j o l ]_w
[_w p a s i ]_w
[_w p a j t ]_w
[_w dʒ ɔ j ]_w
[_w a s ɔ ]_w
[_w j u s i ]_w
[_w j ɔ n i ]_w
[_w ɔ j a t ]_w
[_w ɔ tʃ i b ]_w
[_w χ u t ɔ ]_w
[_w ɔ l i ŋ ]_w
[_w s ɔ d ]_w
[_w ɾ a t ]_w
[_w a s a ɾ ]_w
[_w d i n i ]_w
[_w a j ɔ l ]_w
[_w i ʃ d i ]_w
[_w tʃ i q a ]_w
[_w o ɾ t a ]_w
[_w t i n dʒ ]_w
[_w n a t i ]_w
[_w t ɔ p i ]_w
[_w j ɔ ʃ i ]_w
[_w u m a ɾ ]_w
[_w q i s ]_w
[_w i lː a t ]_w
[_w m i ŋ ]_w
[_w o z i ŋ ]_w
[_w s o z i ]_w
[_w p ɔ ʃ i ]_w
[_w k a b i ]_w
[_w k u n i ]_w
[_w ɔ z i j ]_w
[_w i kː i ]_w
[_w k ɛ l a ]_w
[_w b ɛ ɾ i ]_w
[_w m a n ɔ ]_w
[_w ʃ ɔ i ɾ ]_w
[_w ʃ a χ s ]_w
[_w m a s i ]_w
[_w b m t ]_w
[_w o z i m ]_w
[_w j a n i ]_w
[_w ɔ l i ʃ ]_w
[_w dʒ a m i ]_w
[_w i ʃ n i ]_w
[_w q a ɾ a ]_w
[_w q ɔ z i ]_w
[_w f a ɾ q ]_w
[_w b a s i ]_w
[_w a ɾ ɔ q ]_w
[_w i z ɔ h ]_w
[_w k o z i ]_w
[_w d a ɾ t ]_w
[_w t a s i ]_w
[_w a ɾ a p ]_w
[_w u m i d ]_w
[_w i n d a ]_w
[_w p a d ɾ ]_w
[_w t o ɾ t ]_w
[_w ɾ o z a ]_w
[_w m a s a ]_w
[_w t a w ɔ ]_w
[_w ɛ ɡ a n ]_w
[_w k u ɾ a ]_w
[_w ɔ l d i ]_w
[_w w a q t ]_w
[_w s ɔ dː a ]_w
[_w a n h ɔ ]_w
[_w t ɔ b i ]_w
[_w k a z b ]_w
[_w a s i s ]_w
[_w b i tː a ]_w
[_w ɔ l a t ]_w
[_w t u ɾ ɡ ]_w
[_w t u d i ]_w
[_w ɔ d a n ]_w
[_w o t a ]_w
[_w b a n k ]_w
[_w b a χ t ]_w
[_w i j u n ]_w
[_w a m a l ]_w
[_w ɛ t i ʃ ]_w
[_w u s u n ]_w
[_w ɡ i ʃ i ]_w
[_w a s ɔ s ]_w
[_w i ʃ q ]_w
[_w q ɔ i m ]_w
[_w ɔ l i ]_w
[_w ɔ j a d ]_w
[_w b o l a ]_w
[_w ɔ d ɔ b ]_w
[_w s ɔ f ]_w
[_w ɛ t i ŋ ]_w
[_w o ʃ a ]_w
[_w t ɔ k i ]_w
[_w s ɔ t i ]_w
[_w b a z i ]_w
[_w d i n ]_w
[_w a j b ]_w
[_w a n a ]_w
[_w i s m i ]_w
[_w d u ɾ ɡ ]_w
[_w m ɔ l i ]_w
[_w t a ɔ m ]_w
[_w s u t ]_w
[_w k a ɾ i ]_w
[_w ɔ b i t ]_w
[_w u n i ŋ ]_w
[_w ɛ s a ]_w
[_w z ɔ n ]_w
[_w k o ɾ a ]_w
[_w χ ɔ l i ]_w
[_w ɡ ɛ l a ]_w
[_w h a qː i ]_w
[_w t i n tʃ ]_w
[_w t a ɾ d ]_w
[_w k a m ]_w
[_w h a m ]_w
[_w ɔ l k a ]_w
[_w t i n i ]_w
[_w ɛ t i m ]_w
[_w b ɔ ɾ a ]_w
[_w ɡ o j ɔ ]_w
[_w ɛ z ɡ i ]_w
[_w i z ɾ ɔ ]_w
[_w a s l ]_w
[_w ɔ s t i ]_w
[_w ɾ ɔ s a ]_w
[_w o ɣ l i ]_w
[_w ɛ t a ɾ ]_w
[_w i m ɔ n ]_w
[_w q a z d ]_w
[_w ɾ ɔ z d ]_w
[_w j ɔ ɣ i ]_w
[_w w ɔ s i ]_w
[_w o l i m ]_w
[_w k u ŋ a ]_w
[_w ɔ ɾ a d ]_w
[_w q a t i ]_w
[_w dʒ ɔ n ]_w
[_w q i z m ]_w
[_w dʒ ɔ j i ]_w
[_w h a z a ]_w
[_w d i n tʃ ]_w
[_w p ɔ ɾ a ]_w
[_w o t i b ]_w
[_w n ɔ m i ]_w
[_w a q l ]_w
[_w u n i ]_w
[_w ɛ t i b ]_w
[_w h a l ]_w
[_w d ɛ j a ]_w
[_w ɛ m a z ]_w
[_w q i l a ]_w
[_w q ɔ ɾ i ]_w
[_w t a z a ]_w
[_w d a s i ]_w
[_w t u ʃ ]_w
[_w i dʒ i ]_w
[_w t ɔ z a ]_w
[_w t i ɾ i ]_w
[_w s u d i ]_w
[_w j o q ]_w
[_w a z ɔ z ]_w
[_w p a χ ʃ ]_w
[_w χ a m ]_w
[_w ɾ a k a ]_w
[_w s a i d ]_w
[_w t a w ɾ ]_w
[_w ɔ t a m ]_w
[_w j ɔ t ]_w
[_w ɔ χ i ɾ ]_w
[_w k u n ]_w
[_w ɔ j i ]_w
[_w b ɔ i s ]_w
[_w ɔ j n i ]_w
[_w z ɔ t i ]_w
[_w n a t ɔ ]_w
[_w ʃ u n i ]_w
[_w i ʃ d a ]_w
[_w f i q h ]_w
[_w a j d i ]_w
[_w a j t i ]_w
[_w q ɔ t i ]_w
[_w w a l ]_w
[_w q o l i ]_w
[_w a z a l ]_w
[_w u ʃ b u ]_w
[_w a dʒ i b ]_w
[_w k a b ]_w
[_w t u t i ]_w
[_w ɣ ɔ j a ]_w
[_w tʃ ɔ n ]_w
[_w h a q i ]_w
[_w h a l i ]_w
[_w m ɛ w a ]_w
[_w n ɔ n ]_w
[_w ɔ dː i j ]_w
[_w t o z d ]_w
[_w ɛ l dʒ i ]_w
[_w a m ɾ ]_w
[_w ɛ t i k ]_w
[_w tʃ ɔ n i ]_w
[_w d u ŋ i ]_w
[_w u j d a ]_w
[_w o ɾ d a ]_w
