[_w d i s ]_w
[_w s a ɾ a ]_w
[_w a w a i ]_w
[_w w a m ə ]_w
[_w n ə m o ]_w
[_w j a x u ]_w
[_w m u ᵑɡ u ]_w
[_w b a ⁿd e ]_w
[_w b a ɾ i ]_w
[_w ɾ a ⁿd u ]_w
[_w ⁿd ɨ ɾ ə ]_w
[_w ɾ a n ə ]_w
[_w j o w a ]_w
[_w n ɨ ᵑɡ u ]_w
[_w n a b o ]_w
[_w ɸ i x ə ]_w
[_w s ə ᵐb o ]_w
[_w x a j a ]_w
[_w n o u ]_w
[_w ɾ a m ]_w
[_w s ɨ ɸ u ]_w
[_w ɾ a ⁿd ə ]_w
[_w m a ⁿd o ]_w
[_w x ə s ə ]_w
[_w x o e ]_w
[_w s a ɸ ə ]_w
[_w a m i ]_w
[_w n a p o ]_w
[_w x o ⁿd ɨ ]_w
[_w b o ɾ ə ]_w
[_w n ə ᵐb o ]_w
[_w x e ɸ ə ]_w
[_w p e j o ]_w
[_w s u d a ]_w
[_w p a ɾ i ]_w
[_w j a ɸ a ]_w
[_w x ə ᵐb o ]_w
[_w s ɨ ᵑɡ u ]_w
[_w j ə n ə ]_w
[_w p u ɾ ə ]_w
[_w x e x i ]_w
[_w x a p o ]_w
[_w k a ɸ u ]_w
[_w t ə d ə ]_w
[_w ɾ e ɸ e ]_w
[_w ɾ a n a ]_w
[_w a ᵐb e ]_w
[_w p a ɾ ə ]_w
[_w x o ɾ ə ]_w
[_w x ə ɸ ə ]_w
[_w n a ɸ ə ]_w
[_w ᵑɡ ə m ə ]_w
[_w w a ɾ a ]_w
[_w p ə ⁿd ə ]_w
[_w t ɨ d u ]_w
[_w x e ɸ e ]_w
[_w a s e i ]_w
[_w a ⁿd a i ]_w
[_w ᵑɡ o ɾ ɨ ]_w
[_w e n o k ]_w
[_w ɡ a ɾ ə ]_w
[_w m e x o ]_w
[_w a n e ]_w
[_w j ə ɸ ə ]_w
[_w p o t ə ]_w
[_w ᵐb u ɾ a ]_w
[_w ᵐb a n ə ]_w
[_w m a m ə ]_w
[_w x ə n ə ]_w
[_w x o w a ]_w
[_w ⁿd a n ə ]_w
[_w s e s ə ]_w
[_w b e j o ]_w
[_w s ə n ə ]_w
[_w k i ɸ i ]_w
[_w s e ɸ ə ]_w
[_w s e x i ]_w
[_w ɾ a ᵐb o ]_w
[_w p o ɾ ə ]_w
[_w ⁿd o ⁿd o ]_w
[_w ᵐb u ɾ ə ]_w
[_w a s u ]_w
[_w n ə m ə ]_w
[_w s a ⁿd e ]_w
[_w x u x ɨ ]_w
[_w a b o e ]_w
[_w w a ᵐb o ]_w
[_w d ɨ d ɨ ]_w
[_w ᵐb ə ɾ o ]_w
[_w n ə ᵐb ə ]_w
[_w s a b o ]_w
[_w k ɨ d u ]_w
[_w d ɨ ɾ u ]_w
[_w ᵑɡ ə ɾ ə ]_w
[_w a n e i ]_w
[_w a p o e ]_w
[_w p u s i ]_w
[_w w a ɾ ə ]_w
[_w a x u ]_w
[_w x o e i ]_w
[_w x a b o ]_w
[_w j a x o ]_w
[_w ɾ ə x a ]_w
[_w s o w a ]_w
[_w b o t ə ]_w
[_w m a j o ]_w
[_w d a k o ]_w
[_w m a x o ]_w
[_w a b u ]_w
[_w x e n a ]_w
[_w x o ᵑɡ u ]_w
[_w ⁿd o ⁿd e ]_w
[_w m a ɾ ə ]_w
[_w w o x ə ]_w
[_w j i ᵐb u ]_w
[_w ᵐb u ɾ u ]_w
[_w d o ᵑɡ i ]_w
[_w ᵑɡ o m o ]_w
[_w j i ɾ ə ]_w
[_w x ɨ ⁿd a ]_w
[_w n ə ᵑɡ o ]_w
[_w p i d a ]_w
[_w x a ɾ ə ]_w
[_w a i ᵐb o ]_w
[_w ɸ a ⁿd ə ]_w
[_w m a ɾ u ]_w
[_w s u d ]_w
[_w s i n a ]_w
[_w a i s a ]_w
[_w d ə d ə ]_w
[_w a p u ]_w
[_w p ɾ e d ]_w
[_w n a x a ]_w
[_w t ɨ t u ]_w
[_w s o b a ]_w
[_w m a x u ]_w
[_w a ⁿd ɾ u ]_w
[_w s o n ]_w
[_w a b e d ]_w
[_w d ɨ d u ]_w
[_w x a ɸ o ]_w
[_w p ə d ə ]_w
[_w x e i ]_w
[_w a n a s ]_w
[_w x a n ə ]_w
[_w x ə ɸ o ]_w
[_w k ɨ ɾ e ]_w
[_w a n i ]_w
[_w p a s ]_w
[_w w i k ]_w
[_w ɾ a ⁿd e ]_w
[_w p ə ɾ e ]_w
[_w a i j u ]_w
[_w w o ɸ ə ]_w
[_w a ᵑɡ a ]_w
[_w k u t i ]_w
[_w w a n ə ]_w
[_w m i t a ]_w
[_w b i t a ]_w
[_w a d a m ]_w
[_w a i j o ]_w
[_w ɸ u ɾ ə ]_w
[_w a i ɾ a ]_w
[_w ᵐb u ⁿd a ]_w
[_w k a ɾ e ]_w
[_w m a ⁿd u ]_w
[_w s o ŋ ]_w
[_w w a ⁿd ə ]_w
[_w s ɨ ɾ ɨ ]_w
[_w k o t ]_w
[_w ⁿd ə ɸ o ]_w
[_w j a ɾ e ]_w
[_w p a b ə ]_w
[_w a t a m ]_w
[_w ɡ o d a ]_w
[_w a x e i ]_w
[_w m a n a ]_w
[_w x a w a ]_w
[_w k e n a ]_w
[_w ɾ e ɸ i ]_w
[_w d ɨ t u ]_w
[_w a ᵐb o a ]_w
[_w b a p ə ]_w
[_w s ə ɾ ə ]_w
[_w x ɨ ɸ ə ]_w
[_w ⁿd a n a ]_w
[_w k u d i ]_w
[_w x o ᵐb o ]_w
[_w ɸ i k ]_w
[_w m o e i ]_w
[_w d a i ɾ ]_w
[_w ᵐb a n e ]_w
[_w s i ᵐb o ]_w
[_w a i n ]_w
[_w b ə d ə ]_w
[_w w a ɸ u ]_w
[_w t ə t ə ]_w
[_w ᵑɡ e i ]_w
[_w k u d u ]_w
[_w ɡ a b ]_w
[_w k u s ɨ ]_w
[_w d ɨ t ɨ ]_w
[_w n i ⁿd ə ]_w
[_w ᵑɡ e ɸ o ]_w
[_w x o m o ]_w
[_w s i ⁿd u ]_w
[_w a x a m ]_w
[_w j o m o ]_w
[_w s ə ɸ o ]_w
[_w p ə t ə ]_w
[_w d e n ]_w
[_w ɾ a ⁿd o ]_w
[_w ɸ a ɾ e ]_w
[_w b a ɾ e ]_w
[_w p a p ə ]_w
[_w p o d ə ]_w
[_w p i ɸ e ]_w
[_w m e x u ]_w
[_w b o d ə ]_w
[_w ᵐb ɨ s ɨ ]_w
[_w ᵐb ə s ə ]_w
[_w p i t a ]_w
[_w k o s o ]_w
[_w w e ɾ ə ]_w
[_w e x u ]_w
[_w n ə n ə ]_w
[_w s a p o ]_w
[_w x o u ]_w
[_w a i j a ]_w
[_w ɾ u ⁿd ə ]_w
[_w ɡ a k ə ]_w
[_w s t a d ]_w
[_w s ə m o ]_w
[_w ⁿd ə x ɨ ]_w
[_w s e m s ]_w
[_w w a i n ]_w
[_w m a ⁿd ə ]_w
[_w m a d a ]_w
[_w a w a ]_w
[_w ɾ o d u ]_w
[_w k o t ə ]_w
[_w k a b e ]_w
[_w m a p u ]_w
[_w m e m o ]_w
[_w x e ɾ ɨ ]_w
[_w b a ɾ ə ]_w
[_w x ɨ s i ]_w
[_w ɾ ə x u ]_w
[_w t ə b o ]_w
[_w m a ɾ e ]_w
[_w ᵑɡ a ᵐb o ]_w
[_w x o ɾ o ]_w
[_w d ə ɸ o ]_w
[_w w o ɾ ə ]_w
[_w x o x ɨ ]_w
[_w k i n ə ]_w
[_w i s i b ]_w
[_w e s i a ]_w
[_w ɾ e x ə ]_w
[_w w a i ]_w
