[_w e b e ]_w
[_w t ɔ ŋ e ]_w
[_w ᵐb ɔ l o ]_w
[_w j a l i ]_w
[_w s o l i ]_w
[_w k i j e ]_w
[_w b i d a ]_w
[_w t e n i ]_w
[_w s o b o ]_w
[_w j ɔ t e ]_w
[_w d ɔ k o ]_w
[_w k u n o ]_w
[_w n o j a ]_w
[_w m a ⁿd e ]_w
[_w d e t e ]_w
[_w j o w a ]_w
[_w h o s ]_w
[_w k i d e ]_w
[_w s u m ɔ ]_w
[_w t a ɡ a ]_w
[_w m u r i ]_w
[_w ɔ l o u ]_w
[_w t e j a ]_w
[_w u t ɔ ]_w
[_w l ɔ ɡ u ]_w
[_w s a ᵐb o ]_w
[_w k u r a ]_w
[_w e l i ]_w
[_w o s i ]_w
[_w j o m i ]_w
[_w d i k i ]_w
[_w d i k a ]_w
[_w d e t o ]_w
[_w j e n i ]_w
[_w u n i ]_w
[_w ⁿd a w u ]_w
[_w b a l e ]_w
[_w s o l u ]_w
[_w s a ᵑɡ a ]_w
[_w s o n o ]_w
[_w k e n o ]_w
[_w ɡ u l i ]_w
[_w n e j i ]_w
[_w e r o ]_w
[_w ɡ u m ɔ ]_w
[_w s a j i ]_w
[_w k e j e ]_w
[_w m a n a ]_w
[_w p a r e ]_w
[_w a n u d ]_w
[_w k a j i ]_w
[_w t e t e ]_w
[_w m a t a ]_w
[_w b u k ]_w
[_w k i ŋ o ]_w
[_w t i ɡ a ]_w
[_w t e w a ]_w
[_w n a ɡ a ]_w
[_w t ɔ t u ]_w
[_w m e r a ]_w
[_w s o s i ]_w
[_w b u r i ]_w
[_w p e j e ]_w
[_w l u ɡ ]_w
[_w s o l o ]_w
[_w j u n o ]_w
[_w j e w o ]_w
[_w p a l e ]_w
[_w t i k a ]_w
[_w k o w ɔ ]_w
[_w m a ᵑɡ a ]_w
[_w b a w a ]_w
[_w e l o ]_w
[_w s a n o ]_w
[_w ɡ i j e ]_w
[_w ɡ e j o ]_w
[_w ŋ u ⁿd i ]_w
[_w j o k o ]_w
[_w r a j i ]_w
[_w k u m ɔ ]_w
[_w b i j a ]_w
[_w j a ɡ a ]_w
[_w b o d a ]_w
[_w k o ᵑɡ e ]_w
[_w j u k a ]_w
[_w k u l i ]_w
[_w s i ᵐb o ]_w
[_w ɡ a b o ]_w
[_w d ɔ ŋ e ]_w
[_w e w o ]_w
[_w k a j a ]_w
[_w n u ŋ o ]_w
[_w t o w i ]_w
[_w d i m ɔ ]_w
[_w h i m i ]_w
[_w k u l a ]_w
[_w n o n o ]_w
[_w d u n ɔ ]_w
[_w j e j i ]_w
[_w k a l i ]_w
[_w j o w o ]_w
[_w m ɔ m a ]_w
[_w k e ŋ o ]_w
[_w ᵐb ɔ r o ]_w
[_w ɡ e ᵑɡ e ]_w
[_w ŋ u l o ]_w
[_w e r o n ]_w
[_w s u w ɔ ]_w
[_w s i m ɔ ]_w
[_w d e w o ]_w
[_w b a j i ]_w
[_w j a ᵑɡ a ]_w
[_w k i r i ]_w
[_w m e l a ]_w
[_w n u n o ]_w
[_w n o l o ]_w
[_w n a l u ]_w
[_w j a d e ]_w
[_w k e j o ]_w
[_w ɡ e j i ]_w
[_w o ᵐb u ]_w
[_w k a ɡ a ]_w
[_w j ɔ d e ]_w
[_w s u ᵑɡ i ]_w
[_w m e t e ]_w
[_w t u n ɔ ]_w
[_w s i r i ]_w
[_w w a d a ]_w
[_w ɡ a ⁿd e ]_w
[_w j o n ]_w
[_w ɡ o m e ]_w
[_w n ɔ l e ]_w
[_w p r i s ]_w
[_w ᵐb i l i ]_w
[_w k a r o ]_w
[_w t o b ɔ ]_w
[_w ŋ a n o ]_w
[_w s e ⁿd o ]_w
[_w ɡ ɔ t u ]_w
[_w s i r e ]_w
[_w n ɔ r e ]_w
[_w b a r e ]_w
[_w t e j i ]_w
[_w ɡ o j i ]_w
[_w m a d a ]_w
[_w e ɡ e ]_w
[_w ŋ a r o ]_w
[_w d e ɡ e ]_w
[_w k a ⁿd o ]_w
[_w ŋ u ᵑɡ a ]_w
[_w t i k i ]_w
[_w e w a ]_w
[_w u r o ]_w
[_w k ɔ r o ]_w
[_w b e ᵑɡ o ]_w
[_w j e w e ]_w
[_w j u t o ]_w
[_w d a ᵐb u ]_w
[_w a n u t ]_w
[_w l o ᵑɡ e ]_w
[_w h a m ɔ ]_w
[_w d ɔ ɡ o ]_w
[_w k o m e ]_w
[_w n o ⁿd o ]_w
[_w m e r e ]_w
[_w ŋ a ⁿd o ]_w
[_w m u ⁿd i ]_w
[_w k i d a ]_w
[_w t i m ɔ ]_w
[_w s i j e ]_w
[_w k ɔ ⁿd o ]_w
[_w d e j i ]_w
[_w u j i ]_w
[_w r o k o ]_w
[_w s a k a ]_w
[_w i n o k ]_w
[_w d e r o ]_w
[_w ŋ u j a ]_w
[_w w ɔ l o ]_w
[_w ɡ i r i ]_w
[_w j e w a ]_w
[_w w e ⁿd e ]_w
[_w b o k a ]_w
[_w j e k a ]_w
[_w m o ᵐb i ]_w
[_w d e w a ]_w
[_w d a l o ]_w
[_w w e ⁿd o ]_w
