[_w tʃ ɑ ŋ ]_w
[_w b i ɡ i ]_w
[_w s o ɑ l ]_w
[_w b u n i ]_w
[_w u z u l ]_w
[_w i z m i ]_w
[_w ɑ ʃ u ]_w
[_w ʃ i l ]_w
[_w o q u b ]_w
[_w ɣ ɑ l i ]_w
[_w ɑ j l i ]_w
[_w t i l i ]_w
[_w i k æ n ]_w
[_w ʃ ɑ i r ]_w
[_w k i ʃ i ]_w
[_w h e z ]_w
[_w t i k i ]_w
[_w ɑ s t i ]_w
[_w w æ q æ ]_w
[_w q i l ]_w
[_w s i j ɑ ]_w
[_w ɑ q s u ]_w
[_w n e m æ ]_w
[_w d ɑ z i ]_w
[_w u n i ŋ ]_w
[_w d y r ɡ ]_w
[_w y m i t ]_w
[_w d y r k ]_w
[_w æ j s ɑ ]_w
[_w ɡ ø p i ]_w
[_w tʃ ɑ r i ]_w
[_w p ɑ h ɑ ]_w
[_w æ z æ r ]_w
[_w u s ɑ q ]_w
[_w ɑ z ɑ s ]_w
[_w h ɑ s i ]_w
[_w b ɑ ʃ ]_w
[_w i l ɣ ɑ ]_w
[_w i t i ]_w
[_w q æ t æ ]_w
[_w u tʃ u r ]_w
[_w l i n ]_w
[_w s ɑ n i ]_w
[_w e l i ʃ ]_w
[_w h ɑ tʃ i ]_w
[_w s o r i ]_w
[_w ɑ r ɑ ]_w
[_w o r u n ]_w
[_w ɑ w ɑ z ]_w
[_w ɣ e t i ]_w
[_w ɑ d ɑ ]_w
[_w k ø z i ]_w
[_w æ m æ l ]_w
[_w ɑ j ɑ l ]_w
[_w b ɑ h ɑ ]_w
[_w d i l i ]_w
[_w æ l l æ ]_w
[_w ɣ e l i ]_w
[_w m u z ɑ ]_w
[_w y z d i ]_w
[_w dʒ ɑ j ]_w
[_w i k k i ]_w
[_w x i t ɑ ]_w
[_w n i m æ ]_w
[_w o r d ɑ ]_w
[_w q ɑ t i ]_w
[_w h æ m ]_w
[_w p æ r q ]_w
[_w ɑ m i l ]_w
[_w tʃ o ŋ ]_w
[_w h ɑ z i ]_w
[_w i n q i ]_w
[_w t ɑ r i ]_w
[_w d e t i ]_w
[_w i dʒ i ]_w
[_w h æ tʃ ]_w
[_w ɑ l i m ]_w
[_w r æ t ]_w
[_w ø l k æ ]_w
[_w o j u n ]_w
[_w b æ z i ]_w
[_w b i r ]_w
[_w b i n ɑ ]_w
[_w æ h w ɑ ]_w
[_w ɡ i r i ]_w
[_w o ɣ u l ]_w
[_w ɑ r s u ]_w
[_w u l u x ]_w
[_w æ n æ ]_w
[_w r o ŋ ]_w
[_w d æ r ]_w
[_w b æ r q ]_w
[_w k æ n d ]_w
[_w t æ w r ]_w
[_w q o l i ]_w
[_w j i l i ]_w
[_w æ s t æ ]_w
[_w q o ʃ ]_w
[_w d y r i ]_w
[_w y m i d ]_w
[_w t ɑ i r ]_w
[_w s u ɣ ɑ ]_w
[_w b æ n ]_w
[_w l i k ]_w
[_w r æ i s ]_w
[_w ɣ ɑ m ]_w
[_w j æ n æ ]_w
[_w j y æ n ]_w
[_w q ɑ r ɑ ]_w
[_w h ɑ w ɑ ]_w
[_w w ɑ ŋ ]_w
[_w ɑ z d i ]_w
[_w e x i s ]_w
[_w ʃ æ x s ]_w
[_w x e l i ]_w
[_w x i d ɑ ]_w
[_w e l i ]_w
[_w t u ɑ ]_w
[_w b æ s i ]_w
[_w ɑ t æ t ]_w
[_w ɑ t æ d ]_w
[_w ɑ z i j ]_w
[_w ø z ɡ æ ]_w
[_w k i r i ]_w
[_w s i l æ ]_w
[_w k r ɑ m ]_w
[_w q æ r s ]_w
[_w p u n i ]_w
[_w d i l ]_w
[_w d ø t ]_w
[_w p e r i ]_w
[_w b e r i ]_w
[_w ʃ æ j ɣ ]_w
[_w t i n ]_w
[_w q ɑ tʃ ɑ ]_w
[_w d ɑ r i ]_w
[_w ø z y ʃ ]_w
[_w d o l ɑ ]_w
[_w ʃ æ r t ]_w
[_w ɑ r q ɑ ]_w
