"","code","multiple_fricatives","multiple_same_fricatives","multiple_diff_fricatives","multiple_sibilants","multiple_same_sibilants"
"1","aak",0.981,0.963,0.9,0.875,0.875
"2","aey",0.473,0.961,0.009,0.907,0.907
"3","agg",0.857,0.535,0.896,0.473,0.473
"4","arn",0.364,0.705,0.286,0.5,0.747
"5","ay",0.042,0.139,0.08,0.087,0.087
"6","az",0.938,0.967,0.874,0.787,0.965
"7","ba",0.651,0.521,0.711,0.556,0.286
"8","bef",0.526,0.575,0.637,0.498,0.498
"9","be",1,0.77,1,0.557,0.452
"10","bg",0.977,0.844,0.92,0.937,0.858
"11","bmu",0.793,0.78,0.725,0.78,0.78
"12","bug",0.811,0.981,0.124,0.364,0.978
"13","bxr",0.495,0.379,0.605,0.495,0.231
"14","ca",0.067,0.26,0.113,0.258,0.26
"15","cbk",0.942,0.749,0.971,0.749,0.749
"16","cbt",0.38,0.547,0.218,0.38,0.547
"17","cbu",0.849,0.7,0.827,0.803,0.7
"18","chm",0.997,0.995,0.971,0.973,0.985
"19","cni",0.995,0.846,0.987,0.932,0.754
"20","cof",0.437,0.579,0.36,0.185,0.185
"21","crh",0.773,0.946,0.606,0.782,0.985
"22","cs",0.11,0.301,0.138,0.046,0.35
"23","dyo",1,1,0.838,1,1
"24","es",0.501,0.641,0.314,0.464,0.464
"25","eu",0.192,0.156,0.501,0.166,0.156
"26","ghs",0.91,0.995,0.209,0.993,0.993
"27","gn",0.602,0.443,0.599,0.041,0.116
"28","hi",0.393,0.644,0.387,0.586,0.714
"29","hsb",0.9,0.996,0.675,0.992,0.998
"30","hu",0.16,0.065,0.256,0.025,0.073
"31","hy",0.572,0.603,0.523,0.335,0.683
"32","id",0.973,0.369,0.996,0.369,0.386
"33","iu",0.834,0.814,0.921,0.617,0.617
"34","ka",1,1,1,1,1
"35","kea",0.101,0.312,0.114,0.051,0.367
"36","kn",0.102,0.315,0.138,0.187,0.355
"37","ko",0.988,0.573,0.996,0.57,0.498
"38","ksr",0.402,0.324,0.818,0.324,0.324
"39","kup",1,1,1,0.568,0.866
"40","kyz",0.998,0.946,0.998,0.901,0.901
"41","ky",0.556,0.714,0.417,0.274,0.755
"42","mcf",0.637,0.863,0.249,0.637,0.863
"43","mg",0.752,0.989,0.605,0.742,0.734
"44","mk",0.995,0.867,0.997,0.972,0.898
"45","ml",0.807,0.606,0.772,0.744,0.7
"46","mnb",0.992,0.784,0.994,0.955,0.955
"47","mt",0.148,1,0.005,0.158,1
"48","myv",0.913,0.846,0.856,0.609,0.456
"49","naf",0.59,0.831,0.328,0.59,0.831
"50","ne",0.92,0.941,0.682,0.944,0.945
"51","omw",0.976,0.984,0.786,0.892,0.892
"52","pag",0.792,0.753,0.746,0.742,0.742
"53","pib",0.996,0.986,0.989,0.555,0.66
"54","ro",0.523,0.874,0.242,0.6,0.888
"55","rwo",0.529,0.46,0.685,0.464,0.464
"56","shi",0.773,1,0.263,0.461,1
"57","si",0.934,0.893,0.751,0.855,0.911
"58","sk",0.058,0.195,0.076,0.052,0.123
"59","sm",0.867,0.988,0.185,0.898,0.898
"60","sq",0.238,0.124,0.333,0.182,0.134
"61","sw",0.76,0.881,0.556,0.594,0.908
"62","te",0.836,0.934,0.587,0.694,0.934
"63","tg",0.974,0.281,0.988,0.532,0.531
"64","to",0.307,0.933,0.007,0.836,0.836
"65","tr",0.224,0.26,0.232,0.097,0.32
"66","tt",0.526,0.021,0.811,0.322,0.054
"67","ug",0.87,0.976,0.633,0.859,0.985
"68","uk",0.752,0.905,0.788,0.086,0.411
"69","uz",0.703,0.579,0.68,0.42,0.724
"70","var",0.568,0.407,0.735,0.481,0.481
"71","viv",0.961,0.989,0.677,1,1
"72","vi",0,0,0,0,0
"73","wo",0.03,0.062,0.134,0.026,0.027
"74","yi",0.112,0.336,0.14,0.264,0.388
"75","zos",0.919,0.928,0.922,0.421,0.584
